year,income_rate,cost_rate,balance_rate,nominal_outlays_bn,nominal_taxable_payroll_bn
2025,12.896,14.92,-2.024,1589.1,10654.37
2026,12.901,14.982,-2.081,1643.68,10974.99
2027,12.91,15.102,-2.192,1704.17,11287.64
2028,12.919,15.208,-2.289,1765.32,11610.86
2029,12.929,15.341,-2.412,1827.5,11916.09
2030,12.941,15.517,-2.576,1894.61,12214.22
2031,12.955,15.711,-2.756,1967.26,12525.23
2032,12.967,15.908,-2.941,2042.88,12845.77
2033,12.979,16.104,-3.125,2121.06,13174.65
2034,12.995,16.354,-3.359,2206.56,13496.24
2035,13.002,16.387,-3.385,2295.57,14012.26
2036,13.006,16.363,-3.357,2379.29,14544.94
2037,13.013,16.403,-3.39,2475.19,15094.65
2038,13.022,16.481,-3.459,2580.4700000000003,15661.74
2039,13.033,16.586,-3.553,2693.9300000000003,16246.57
2040,13.043,16.681,-3.638,2809.53,16847.34
2041,13.051,16.751,-3.7,2924.42,17463.98
2042,13.059,16.8,-3.741,3039.2,18096.56
2043,13.067,16.854,-3.787,3158.23,18745.11
2044,13.074,16.895,-3.821,3277.96,19408.25
2045,13.077,16.837,-3.76,3398.65,20192.13
2046,13.08,16.776,-3.696,3523.49,21009.74
2047,13.083,16.712,-3.629,3652.4700000000003,21861.44
2048,13.085,16.642,-3.557,3784.54,22747.57
2049,13.088,16.588,-3.5,3924.87,23668.45
2050,13.089,16.487,-3.398,4058.2400000000002,24622.48
2051,13.091,16.418,-3.327,4203.14,25608.16
2052,13.095,16.358,-3.263,4354.26,26626.13
2053,13.097,16.306,-3.209,4511.87,27677.2
2054,13.101,16.263,-3.162,4676.21,28762.26
2055,13.105,16.227,-3.122,4847.58,29882.29
2056,13.113,16.255,-3.142,5043.7,31036.42
2057,13.121,16.294,-3.173,5249.21,32225.53
2058,13.129,16.341,-3.212,5464.58,33450.45
2059,13.139,16.398,-3.259,5690.219999999999,34711.97
2060,13.148,16.465,-3.317,5927.38,36009.01
2061,13.158,16.541,-3.383,6174.84,37341.5
2062,13.169,16.629,-3.46,6435.17,38710.37
2063,13.18,16.729,-3.549,6708.97,40116.87
2064,13.193,16.84,-3.647,6996.85,41562.66
2065,13.205,16.961,-3.756,7299.42,43049.8
2066,13.215,17.026,-3.811,7588.36,44583.69
2067,13.225,17.095,-3.87,7889.88,46167.22
2068,13.235,17.168,-3.933,8204.539999999999,47803.48
2069,13.247,17.245,-3.998,8532.89,49495.62
2070,13.249,17.172,-3.923,8822.06,51391.81
2071,13.251,17.089,-3.838,9117.17,53366.09
2072,13.252,17.005,-3.753,9422.16,55421.77
2073,13.255,16.922,-3.667,9737.51,57561.93
2074,13.257,16.837,-3.58,10063.77,59789.22
2075,13.258,16.754,-3.496,10401.9,62104.9
2076,13.265,16.768,-3.503,10814.43,64512.85
2077,13.272,16.783,-3.511,11244.08,67015.46
2078,13.279,16.8,-3.521,11691.56,69614.73
2079,13.287,16.818,-3.531,12157.64,72312.53
2080,13.293,16.824,-3.531,12636.28,75129.66
2081,13.298,16.788,-3.49,13102.130000000001,78069.65
2082,13.301,16.742,-3.441,13579.25,81136.22
2083,13.303,16.687,-3.384,14067.779999999999,84333.0
2084,13.306,16.623,-3.317,14567.9,87664.1
2085,13.307,16.543,-3.236,15074.07,91150.28
2086,13.306,16.424,-3.118,15564.99,94796.86
2087,13.303,16.292,-2.989,16060.67,98611.13
2088,13.3,16.146,-2.846,16560.91,102601.17
2089,13.296,15.984,-2.688,17063.43,106781.74
2090,13.302,16.007,-2.705,17718.19,110723.64
2091,13.31,16.052,-2.742,18421.86,114795.94
2092,13.319,16.101,-2.782,19155.41,119008.67
2093,13.327,16.15,-2.823,19918.7,123372.69
2094,13.336,16.198,-2.862,20711.64,127899.85
2095,13.345,16.245,-2.9,21534.22,132602.28
2096,13.354,16.299,-2.945,22404.25,137492.49
2097,13.363,16.351,-2.988,23306.129999999997,142581.35
2098,13.371,16.398,-3.027,24240.82,147879.87
2099,13.38,16.439,-3.059,25209.34,153398.8
