"famunit","age","sex","educ","labforce","employed","retired","incwage","incss"
121,47,"woman","college_plus","yes","yes","no",0,"NO"
122,50,"woman","no_college","yes","yes","no",39800,"NO"
123,61,"man","no_college","no","no","no",0,"NO"
124,59,"man","some_college","yes","yes","no",45000,"NO"
125,27,"man","college_plus","yes","yes","no",57000,"NO"
126,57,"man","no_college","yes","yes","no",40000,"NO"
127,72,"woman","college_plus","no","no","yes",2500,"YES"
128,57,"woman","no_college","yes","yes","no",18100,"NO"
129,93,"woman","no_college","no","no","no",0,"YES"
130,35,"man","college_plus","yes","yes","no",75000,"NO"
131,86,"woman","no_college","no","no","no",0,"YES"
132,71,"woman","some_college","no","no","no",0,"YES"
133,31,"man","college_plus","yes","yes","no",75000,"NO"
134,84,"woman","no_college","no","no","no",0,"YES"
135,45,"woman","no_college","no","no","no",0,"NO"
136,64,"man","college_plus","no","no","no",0,"YES"
137,31,"woman","college_plus","yes","yes","no",55000,"NO"
138,35,"man","college_plus","yes","yes","no",30000,"NO"
139,33,"man","college_plus","yes","yes","no",12000,"NO"
140,62,"man","college_plus","yes","no","no",25800,"YES"
141,31,"man","no_college","yes","yes","no",32000,"NO"
142,37,"woman","no_college","yes","yes","no",3400,"NO"
143,34,"man","no_college","yes","yes","no",20800,"NO"
144,44,"man","some_college","yes","yes","no",40000,"NO"
145,94,"woman","college_plus","no","no","no",0,"YES"
146,88,"woman","no_college","no","no","no",0,"NO"
147,47,"man","no_college","yes","yes","no",30000,"NO"
148,72,"woman","some_college","no","no","no",0,"NO"
149,20,"woman","some_college","no","no","no",1500,"NO"
150,22,"man","some_college","yes","yes","no",40000,"NO"
151,84,"man","no_college","no","no","no",0,"YES"
152,18,"man","some_college","yes","no","no",0,"NO"
153,28,"man","some_college","yes","yes","no",56000,"NO"
154,61,"woman","no_college","yes","yes","no",6400,"NO"
155,77,"man","no_college","no","no","no",0,"YES"
156,93,"woman","college_plus","no","no","no",0,"YES"
157,20,"man","some_college","yes","yes","no",5000,"NO"
158,86,"woman","no_college","no","no","no",0,"YES"
159,55,"woman","some_college","no","no","no",0,"YES"
160,49,"woman","some_college","yes","yes","no",53000,"NO"
161,55,"woman","no_college","yes","yes","no",1e+05,"NO"
162,18,"man","some_college","no","no","no",2600,"NO"
163,55,"man","some_college","yes","yes","no",26000,"NO"
164,36,"man","no_college","yes","yes","no",24000,"NO"
165,44,"woman","college_plus","yes","yes","no",77000,"NO"
166,65,"woman","some_college","no","no","no",0,"YES"
167,2,"woman","no_college",NA,NA,"no",NA,"YES"
